2020-05-17 07:33:02,578 agent number of parameters: 14486661
2020-05-17 07:34:56,780 agent number of parameters: 14486661
2020-05-17 07:36:04,955 agent number of parameters: 14486661
2020-05-17 07:42:57,242 agent number of parameters: 14486661
2020-05-17 07:43:20,832 agent number of parameters: 14486661
2020-05-17 07:44:21,271 agent number of parameters: 14486661
2020-05-17 07:45:49,145 agent number of parameters: 14486661
2020-05-17 07:50:38,481 agent number of parameters: 14486661
2020-05-17 07:52:36,205 agent number of parameters: 14486661
2020-05-17 07:58:39,114 agent number of parameters: 14486661
2020-05-17 08:00:45,038 update: 10	fps: 11.185	
2020-05-17 08:00:45,038 update: 10	env-time: 7.497s	pth-time: 117.813s	frames: 1408
2020-05-17 08:00:45,039 Average window size 11 reward: -0.004810
2020-05-17 08:01:00,044 update: 20	fps: 19.078	
2020-05-17 08:01:00,044 update: 20	env-time: 14.765s	pth-time: 124.990s	frames: 2688
2020-05-17 08:01:00,045 Average window size 21 reward: -0.016363
2020-05-17 08:01:16,185 update: 30	fps: 25.269	
2020-05-17 08:01:16,186 update: 30	env-time: 22.814s	pth-time: 132.514s	frames: 3968
2020-05-17 08:01:16,186 Average window size 31 reward: -0.000846
2020-05-17 08:01:31,059 update: 40	fps: 30.528	
2020-05-17 08:01:31,060 update: 40	env-time: 29.941s	pth-time: 139.688s	frames: 5248
2020-05-17 08:01:31,060 Average window size 41 reward: 0.027078
2020-05-17 08:01:45,443 update: 50	fps: 35.042	
2020-05-17 08:01:45,443 update: 50	env-time: 36.671s	pth-time: 146.764s	frames: 6528
2020-05-17 08:01:45,445 Average window size 50 reward: 0.061150
2020-05-17 08:03:22,770 agent number of parameters: 14486661
2020-05-17 08:03:36,647 update: 10	fps: 101.717	
2020-05-17 08:03:36,647 update: 10	env-time: 6.715s	pth-time: 7.043s	frames: 1408
2020-05-17 08:03:36,647 Average window size 11 reward: -0.004496
2020-05-17 08:03:49,880 update: 20	fps: 99.276	
2020-05-17 08:03:49,881 update: 20	env-time: 13.280s	pth-time: 13.683s	frames: 2688
2020-05-17 08:03:49,881 Average window size 21 reward: -0.012693
2020-05-17 08:04:03,138 update: 30	fps: 98.378	
2020-05-17 08:04:03,139 update: 30	env-time: 19.795s	pth-time: 20.397s	frames: 3968
2020-05-17 08:04:03,139 Average window size 31 reward: 0.007022
2020-05-17 08:04:15,290 update: 40	fps: 99.990	
2020-05-17 08:04:15,290 update: 40	env-time: 25.601s	pth-time: 26.713s	frames: 5248
2020-05-17 08:04:15,290 Average window size 41 reward: -0.002507
2020-05-17 08:04:27,778 update: 50	fps: 100.471	
2020-05-17 08:04:27,779 update: 50	env-time: 31.575s	pth-time: 33.198s	frames: 6528
2020-05-17 08:04:27,779 Average window size 50 reward: 0.010347
2020-05-17 08:04:40,186 update: 60	fps: 100.902	
2020-05-17 08:04:40,186 update: 60	env-time: 37.398s	pth-time: 39.693s	frames: 7808
2020-05-17 08:04:40,187 Average window size 50 reward: 0.042117
2020-05-17 08:04:52,282 update: 70	fps: 101.566	
2020-05-17 08:04:52,283 update: 70	env-time: 43.044s	pth-time: 46.111s	frames: 9088
2020-05-17 08:04:52,283 Average window size 50 reward: 0.079861
2020-05-17 08:05:06,318 update: 80	fps: 100.161	
2020-05-17 08:05:06,318 update: 80	env-time: 49.762s	pth-time: 53.397s	frames: 10368
2020-05-17 08:05:06,318 Average window size 50 reward: 0.049800
2020-05-17 08:05:20,203 update: 90	fps: 99.218	
2020-05-17 08:05:20,203 update: 90	env-time: 55.996s	pth-time: 61.015s	frames: 11648
2020-05-17 08:05:20,203 Average window size 50 reward: 0.061429
2020-05-17 08:05:34,700 update: 100	fps: 98.017	
2020-05-17 08:05:34,700 update: 100	env-time: 62.579s	pth-time: 68.896s	frames: 12928
2020-05-17 08:05:34,701 Average window size 50 reward: 0.046901
2020-05-17 08:05:48,957 update: 110	fps: 97.213	
2020-05-17 08:05:48,957 update: 110	env-time: 69.031s	pth-time: 76.614s	frames: 14208
2020-05-17 08:05:48,958 Average window size 50 reward: 0.033225
2020-05-17 08:06:04,033 update: 120	fps: 96.062	
2020-05-17 08:06:04,034 update: 120	env-time: 75.866s	pth-time: 84.822s	frames: 15488
2020-05-17 08:06:04,034 Average window size 50 reward: 0.033730
2020-05-17 08:06:18,231 update: 130	fps: 95.584	
2020-05-17 08:06:18,231 update: 130	env-time: 82.215s	pth-time: 92.639s	frames: 16768
2020-05-17 08:06:18,232 Average window size 50 reward: 0.045137
2020-05-17 08:06:30,828 update: 140	fps: 95.988	
2020-05-17 08:06:30,828 update: 140	env-time: 88.349s	pth-time: 99.072s	frames: 18048
2020-05-17 08:06:30,829 Average window size 50 reward: 0.050104
2020-05-17 08:06:41,696 update: 150	fps: 97.178	
2020-05-17 08:06:41,696 update: 150	env-time: 93.209s	pth-time: 105.051s	frames: 19328
2020-05-17 08:06:41,697 Average window size 50 reward: 0.050376
2020-05-17 08:06:53,221 update: 160	fps: 97.939	
